EntrezGeneSymbol,Var_subject,Var_resid,ICC,stable
HERPUD2,94087.82413888523,155.55333294786817,0.9983494507824239,TRUE
MIPOL1,12229008.643256292,33728.155916103286,0.9972495409084878,TRUE
NKX6-3,6357368.416635902,28481.9725961823,0.9955398308979789,TRUE
CRIPT,8576415.399610216,38666.57190892162,0.9955117580962375,TRUE
IL10RB,472982.14075928496,2358.2473276220057,0.9950388239949203,TRUE
KRT20,8133395.378493281,40655.732567051156,0.9950262443903685,TRUE
ERCC6L,3253133.5660345946,17530.017290018946,0.9946402261059819,TRUE
EMC8,16281608.897708004,103599.0297413373,0.993677283181266,TRUE
SPATA45,7421.437935264385,49.53866654322727,0.9933691846215605,TRUE
PIWIL1,345585.3714489622,2319.2526610051327,0.9933336538226866,TRUE
PI4K2A,335267.89228663757,2726.155326644183,0.9919343096545791,TRUE
KIAA0319L,92725258.86018789,777139.2460896205,0.9916885634825504,TRUE
SGCB,9136865.282730456,76836.12381028911,0.9916606670413973,TRUE
ANAPC10,585517.5486637414,4983.672654242347,0.9915602669828202,TRUE
MLST8,278036.3249418145,2605.3426602493455,0.9907164795502015,TRUE
COMMD5,9428084.965999752,88561.66245093907,0.9906940263825518,TRUE
TRPV1,634348871.6291666,6186742.389553655,0.9903412983538291,TRUE
LEMD1,106684515.09291996,1078717.9826575785,0.989989925581566,TRUE
KLF6,1791811.910251335,18427.35328817979,0.9898204874574705,TRUE
KLHL7,2015874.70199406,20907.887281520176,0.989734845834009,TRUE
ARPP21,82383.86084389313,880.4966644948095,0.9894252872316212,TRUE
PML,1779353.8972041362,19024.32061993371,0.9894214017766785,TRUE
ARSB,1127964.6646285905,12729.35863540449,0.9888406896364895,TRUE
ATF3,23383693.19089872,265674.5480005807,0.9887661035621012,TRUE
KIR2DS4,108718.95457099451,1240.472663570053,0.9887188147958984,TRUE
PTP4A2,82186387.17496319,992307.3302175744,0.9880701742661305,TRUE
MOAP1,5099393.330600153,62348.39251245774,0.9879210553613558,TRUE
USP3,558361.9062565992,6859.295983002954,0.9878644043149406,TRUE
BCL7A,320400.58055681083,3994.9453234099365,0.9876849555413257,TRUE
PMP22,17153820.4810262,217858.4141289704,0.9874589891141881,TRUE
PEG10,160581893.7878996,2111802.0661415868,0.9870197670840537,TRUE
PFDN6,127782815.48912294,1684676.2758330929,0.9869876503138597,TRUE
GTF2B,1674778360.8735552,22210818.604102258,0.9869116321584684,TRUE
WBP1L,42634.5369311429,573.0106652536988,0.9867381812407819,TRUE
MRPL14,621837643.665252,8478855.634286538,0.9865482568777607,TRUE
SAYSD1,19139.373452131083,262.7326660185079,0.9864585491689104,TRUE
FOXJ2,32091.481645584357,444.7279988921948,0.98633129046832,TRUE
ZNF415,230900.22287811906,3261.0713252870796,0.9860733972436353,TRUE
BEX4,10137604.42767998,143812.98497937244,0.9860123386487258,TRUE
POMP,144668.2473456294,2087.9099948323,0.9857729308761572,TRUE
SPAG16,6483155.777596812,94817.9877647597,0.9855855326963974,TRUE
DGCR6L,50048.277424014785,732.8553315130366,0.9855683539979077,TRUE
MALSU1,275007255.1203386,4039349.604214879,0.9855244624524203,TRUE
KIF1C,450694.59732400783,6712.938650286466,0.9853239439180037,TRUE
ZBTB16,81590.61394650096,1233.5319969851266,0.9851066137424851,TRUE
STAP2,168599.61950371446,2552.185326964424,0.9850881775422158,TRUE
ANXA13,106446.20998933355,1638.9959959885412,0.9848360746408614,TRUE
SAP30BP,269054.7793477855,4232.164656166314,0.9845138425050224,TRUE
TEX29,1103119.3954098194,17382.892623778418,0.9844865175114598,TRUE
SGO2,212983.5623252305,3388.6986582947357,0.9843385716686079,TRUE
POLH,180598.9216622976,2878.85932632858,0.9843094934393879,TRUE
FBXO44,162295.4064572268,2598.28799356239,0.9842426479543898,TRUE
RABL2B,28040544.810358442,456067.9955430166,0.9839957120992089,TRUE
CLEC1A,488717.7171462198,8155.885979896204,0.9835855921333256,TRUE
PSMC3IP,325021.27613069804,5482.509986479739,0.9834116575459261,TRUE
ARTN,131701.62448934477,2236.0566611235463,0.9833052458283825,TRUE
NSDHL,694129.1934949973,12177.354636926619,0.9827591083940338,TRUE
EAF2,77933246.75589976,1370018.728608751,0.9827243087628418,TRUE
SH3KBP1,508537.35423738847,8940.25931152781,0.9827233892298942,TRUE
KLK15,10761875.359013978,190614.80686400522,0.982596212918058,TRUE
ZSCAN26,7011409.161046231,125210.55036093111,0.9824552021231011,TRUE
GABBR1,575809.8098978783,10314.366641338012,0.9824024207596428,TRUE
KIF3C,3997523.519330456,72065.68248791536,0.9822916567461613,TRUE
PTPMT1,21824.270912678312,393.7553323679067,0.982277663730112,TRUE
EVI2A,267466080.73226264,4829903.258721144,0.9822623044676227,TRUE
NDE1,85095087.10966149,1537875.5635308714,0.982248378491542,TRUE
NOVA1,18378316.48155,332710.6591854281,0.9822184716700512,TRUE
DUSP22,9943479.146649057,184171.00954472544,0.9818150304656712,TRUE
LRP6,323121.0011227146,6074.329985005142,0.9815479461249786,TRUE
GPHN,83155.51229336654,1565.3153294849708,0.9815238427975086,TRUE
DNAAF11,75246.0607991744,1425.7266631669984,0.9814048072915053,TRUE
MRAS,521596.38930737786,9936.363975859174,0.981306205658103,TRUE
C20orf202,64341.844064544886,1233.536663642536,0.9811890278036571,TRUE
ITGB3BP,2443500.050859827,47251.63188353078,0.9810291679371719,TRUE
NIN,259714550.7643628,5024190.483860085,0.9810220806362854,TRUE
UPF1,3703734.3482655305,72653.83115589104,0.9807610267525457,TRUE
NUP210,57425.87279930305,1136.025330551028,0.9806012891175073,TRUE
GINS1,50729.4588674001,1009.9366642062096,0.9804803157472286,TRUE
CARHSP1,528532.43291242,10549.43597432523,0.9804307349529101,TRUE
MYL5,1504670.6975700154,31054.15059114156,0.9797788317169412,TRUE
GLRX5,14569.21553472922,302.57799925717467,0.9796542361507578,TRUE
KIN,30608.65718954493,637.2466651033878,0.9796054334652065,TRUE
GLRX,26421.537385413514,557.4466653028775,0.9793377443622429,TRUE
DNAJB3,73358.3963363109,1554.5413295779342,0.9792486935099092,TRUE
FZD4,564018.5960506491,11967.223303960918,0.9792230591416815,TRUE
MEF2B,213481.43754308828,4543.2513221997815,0.9791617575704605,TRUE
ABCF1,44621.1981655109,954.2206643238313,0.9790628218275599,TRUE
PUM3,5446.986589279867,116.49866638100309,0.9790601284936514,TRUE
REEP2,47102539.72132712,1010707.6268670928,0.9789931529760892,TRUE
STEAP1,35439154.28511392,761968.1521352213,0.9789518086502424,TRUE
NDRG1,2801371.3853721716,60264.11118627915,0.978940675268127,TRUE
GRM7,281262103.77679694,6065081.335863604,0.9788913766252731,TRUE
STMN2,21828070.869295392,470988.8928382255,0.9788785312985251,TRUE
MIGA2,60294821.02514433,1302016.1814690758,0.9788622883817599,TRUE
ERVW-1,11275.261403117578,244.93866606636755,0.9787383322689361,TRUE
PSPN,2374.9587924824573,51.96599987260078,0.9785877172476476,TRUE
BMPR1A,42016.17681643086,928.4693310509514,0.9783798583911397,TRUE
RNF141,46225104.8699439,1049145.4741068927,0.9778072530717788,TRUE
ERI1,5017261.149332685,115360.33971792311,0.9775240897923175,TRUE
AP3M1,1808637.0950753288,41590.060564865125,0.9775216462270144,TRUE
RASGEF1C,14446.728311804536,336.3926658412645,0.9772448141126668,TRUE
RAB3IL1,600129.5276924261,14090.05863236564,0.9770602257790669,TRUE
USP28,143676.202329316,3389.559991740692,0.976952079544245,TRUE
MORF4L1,10772.079621222583,255.45866605057046,0.9768344793374788,TRUE
IL32,10477.136620544416,249.03933272220348,0.9767820951467463,TRUE
SERF2,115011.43993074339,2741.351326652473,0.9767194365638421,TRUE
CCDC167,146921.66568298812,3522.7499914143523,0.9765843751951657,TRUE
LTBP4,413136739.3774673,9934733.505411036,0.9765176001167979,TRUE
COL20A1,132789.70926739307,3235.205325403566,0.9762160826559718,TRUE
CSAG1,178999.39977495602,4377.116655948465,0.9761304405758099,TRUE
PDE4B,26031111.95123542,638813.973776089,0.9760474035221449,TRUE
TLR7,35555.41677583291,876.2246645199564,0.9759488008259375,TRUE
FCGR2A,1124751.0279197027,27915.188598757166,0.9757820709944351,TRUE
TNFRSF11A,2236532.209591696,56123.695862945984,0.9755202271176334,TRUE
RTL4,2242292.9355891035,57221.977194009756,0.9751156311812069,TRUE
TCEAL3,9346855.963003753,240508.6014145945,0.9749140027169514,TRUE
PCDHGB7,13496232.057753464,348000.389811972,0.9748631503313736,TRUE
ZNF704,505288.54846198973,13121.939967889672,0.9746881279203429,TRUE
CUEDC1,482038.58065263863,12533.487969316995,0.9746579138521924,TRUE
TRIM62,21741.471578786466,566.7613319493473,0.9745940732187446,TRUE
RBM22,3617450.78573887,94760.58376921664,0.9744732790412811,TRUE
DNMT3A,391292.4776477223,10348.516641320604,0.9742344113562441,TRUE
PALS1,1073599.3207340487,28394.269930789527,0.9742337249768767,TRUE
MCM3AP,304667.7655608745,8286.906646316136,0.9735204252172667,TRUE
TRAPPC10,1592738.2104566451,43383.74056133989,0.9734837977484827,TRUE
CA5B,3021965.8347344887,82590.86379897181,0.973396889856131,TRUE
PPP1R7,24582851.83669817,672839.3336982757,0.9733589023892188,TRUE
DCAF5,938000.4067889955,25842.21593701433,0.9731883449354777,TRUE
SIGLEC9,2744497.2909028246,75814.5764810607,0.9731183712844544,TRUE
ZNF707,21304630.580840506,588758.5125660286,0.9731079318028774,TRUE
SF3A3,220802.83769807417,6128.878651707856,0.9729924104471096,TRUE
NR3C1,12875.177857606632,357.6273324577368,0.9729741859476436,TRUE
LGALS14,179805.474677082,5012.863320986977,0.9728768077059574,TRUE
DYNC1LI1,404912059.01507515,11382162.451573933,0.9726583702952365,TRUE
EMG1,15281.701093880225,432.8426656169078,0.9724559190364456,TRUE
GTSF1,19902.039344495213,567.5113319569907,0.9722753400439881,TRUE
ANKRD46,10241.460730219856,293.0446659488584,0.9721823991798005,TRUE
SNIP1,94058.2069135682,2693.296660108439,0.9721627410362933,TRUE
SEPTIN3,1307995.050146319,37629.525908759424,0.9720356430921643,TRUE
ST3GAL3,14518.809867538032,417.78399898053664,0.9720294999841277,TRUE
CEBPA,6549.443595963685,189.0653328729446,0.9719425565997453,TRUE
KCNMB3,15368170.331901036,443862.31424267817,0.9719288263453637,TRUE
PLA2G3,174659.1875190968,5078.017987669575,0.9717475412319215,TRUE
SIAH2,205852.73937705005,5985.067985474459,0.9717469319570892,TRUE
PLEKHA4,631367.1720244766,18367.359955071825,0.9717309777285318,TRUE
PCDH12,55821.173343388524,1625.0426627216293,0.9717119285533309,TRUE
PYCR1,83377.23040479029,2451.9946606800836,0.9714317045410849,TRUE
REEP4,29027.540289659137,866.5719978971865,0.9710119507961471,TRUE
MAP4K3,8769175.640992437,261858.2113678783,0.971004625201417,TRUE
PVR,1167963.8478723164,35096.880581253565,0.9708270083536285,TRUE
PTPRN,754430.8567678533,22708.83794470836,0.9707789499118203,TRUE
PXYLP1,429829.6297686012,12957.171968400604,0.9707372218016185,TRUE
GRM4,45940.214729986896,1406.7939965516932,0.9702875844876095,TRUE
PXDNL,34995.715423109425,1075.5993308985342,0.970181310600024,TRUE
NETO2,105604.86825770712,3270.162659450085,0.9699640713586722,TRUE
CEP20,281678.8959323886,8728.304647129396,0.9699445997560951,TRUE
HOXA9,22533.71779532299,698.6226650939068,0.9699288728019368,TRUE
SPIN3,64915.54703524239,2013.222662159645,0.9699199212646248,TRUE
CPLANE2,1906964.3970277952,59165.869866452325,0.9699074517784051,TRUE
GNRH2,4736.621249197663,147.7546663349062,0.9697495301569565,TRUE
MOGS,16921.809984172138,529.3793321581593,0.9696651430133314,TRUE
IQCF1,42666.86780000164,1336.5113303146181,0.9696270750853807,TRUE
SMAP,54371698.16312237,1716073.2068621912,0.9694037904351367,TRUE
KLF15,15305.565308584566,484.39533225595653,0.969322575066902,TRUE
PDLIM4,11708349.30105134,372804.1891682753,0.9691416726498773,TRUE
C17orf75,138560.76245498072,4430.863990064855,0.9690131226546491,TRUE
SPHK2,1760375.6917163013,56396.9438731135,0.9689576214610824,TRUE
C11orf52,851248.9954913291,27695.33060481766,0.9684902333600273,TRUE
LRRC52,1214783.5651983912,39524.01391341644,0.9684893764722333,TRUE
SPANXA1,48339953.20340473,1577371.857188767,0.9684003128117535,TRUE
RTL6,31812.600734730167,1043.6993310174653,0.9682344229590991,TRUE
SENP8,29941.846388915776,982.74466451121,0.968221255931457,TRUE
REPS2,67801.9700432552,2226.349995128376,0.9682078622776031,TRUE
