Source_Module,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
black,MF,GO:0001540,amyloid-beta binding,10/478,85/18522,0.117647059,4.558700468,5.352239334,6.60789E-05,0.042092232,0.039786428,TREM2/APBB3/ITGA2/TM2D1/LDLRAD3/BACE1/CD36/FBXO2/NGFR/ITM2C,10
blue,BP,GO:0070661,leukocyte proliferation,57/1269,352/18888,0.161931818,2.410219213,7.167564704,4.94187E-10,2.76399E-06,2.34921E-06,CSF1/CLC/CD38/BCL6/GAL/STAT5B/CD3E/HLA-G/ADA/HHEX/CD6/CD28/PSMB10/FOXP3/HES1/FCGR2B/IGFBP2/IFNE/HMGB1/ENPP3/LEP/CD151/TNFSF18/CX3CL1/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/RASGRP1/HLA-A/ZP3/CD276/DLG5/NFKBIZ/TNFRSF4/ZAP70/BST1/IL34/CD55/IL7R/LILRB1/PRLR/TNFRSF21/TREM2/TNFSF14/ST6GAL1/TP53/IFNA5/PRNP/IFNA14/IFNB1/CRTAM/EPHB2/CTNNB1/BST2/GJA1/ARMC5,57
blue,BP,GO:0032943,mononuclear cell proliferation,51/1269,315/18888,0.161904762,2.409816503,6.771712495,4.07053E-09,1.13832E-05,9.67501E-06,CSF1/CLC/CD38/BCL6/GAL/STAT5B/CD3E/HLA-G/ADA/CD6/CD28/PSMB10/FOXP3/HES1/FCGR2B/IGFBP2/IFNE/HMGB1/LEP/CD151/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/RASGRP1/HLA-A/ZP3/CD276/DLG5/NFKBIZ/TNFRSF4/ZAP70/BST1/CD55/IL7R/LILRB1/PRLR/TNFRSF21/TNFSF14/ST6GAL1/TP53/IFNA5/PRNP/IFNA14/IFNB1/CRTAM/EPHB2/CTNNB1/GJA1/ARMC5,51
blue,BP,GO:0048511,rhythmic process,48/1269,297/18888,0.161616162,2.40552093,6.552180305,1.23221E-08,1.64148E-05,1.39515E-05,PTGDS/DHX9/PARP1/RELB/KAT2B/PLEKHA1/ATG7/NR1D2/ENOX1/CGA/LHCGR/ID2/STAT5B/SIRT1/DNM1L/USP2/ATF5/HOMER1/LEP/EGFR/AGRP/SOX14/HNRNPU/SFPQ/KCNA2/KLF10/FBXW11/MTOR/A2M/CIPC/CRY2/NR2F6/CDK1/CLDN4/HDAC1/EGR3/ZP3/ADCY1/CLOCK/MMP2/CASP2/AMH/TNFAIP6/NOTCH1/TP53/PTX3/ID1/NMS,48
blue,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,46/1269,279/18888,0.164874552,2.454019336,6.566477177,1.3159E-08,1.64148E-05,1.39515E-05,PCDH9/MPZ/PLXNB2/DSC1/TENM3/TENM2/TENM4/ITGB2/FLRT3/DSC2/CDH8/CADM2/DSG2/CD6/MAG/SLITRK2/CLDN1/CADM4/DSG3/IL1RAP/CX3CL1/DSG1/SDK2/CNTN4/CADM1/CLDN4/CLDN22/SDK1/CDH2/L1CAM/DSC3/UNC5D/PTPRS/FGFRL1/PCDHGA1/LRFN5/AMIGO2/CDH11/PSG11/CRTAM/CDHR1/SCARF2/PCDH10/REG3A/MPZL2/CDHR5,46
blue,BP,GO:0046651,lymphocyte proliferation,49/1269,308/18888,0.159090909,2.367934666,6.495903017,1.46744E-08,1.64148E-05,1.39515E-05,CLC/CD38/BCL6/GAL/STAT5B/CD3E/HLA-G/ADA/CD6/CD28/PSMB10/FOXP3/HES1/FCGR2B/IGFBP2/IFNE/HMGB1/LEP/CD151/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/RASGRP1/HLA-A/ZP3/CD276/DLG5/NFKBIZ/TNFRSF4/ZAP70/BST1/CD55/IL7R/LILRB1/PRLR/TNFRSF21/TNFSF14/TP53/IFNA5/PRNP/IFNA14/IFNB1/CRTAM/EPHB2/CTNNB1/GJA1/ARMC5,49
blue,BP,GO:0050807,regulation of synapse organization,41/1269,243/18888,0.16872428,2.511319305,6.363555646,4.14606E-08,3.86482E-05,3.28485E-05,IL10RA/RAB17/STAU2/SNAP25/FLRT3/NEURL1/C1QL2/CDH8/EPHA4/SLITRK6/NLGN3/EFNA1/SLITRK2/NRXN1/FCGR2B/HOMER1/PTPRO/IL1RAP/PAFAH1B1/SEMA3F/RPS6KA5/PAK3/NEDD4/DVL1/DLG5/CDH2/TLR2/SLITRK5/TREM2/SEMA4D/PTPRS/PRNP/LRFN5/AMIGO2/SLITRK4/LRFN1/EPHB2/ICAM5/CTNNB1/EGLN1/LRRC24,41
blue,BP,GO:0050803,regulation of synapse structure or activity,41/1269,249/18888,0.164658635,2.450805586,6.184708883,8.32951E-08,6.65528E-05,5.65655E-05,IL10RA/RAB17/STAU2/SNAP25/FLRT3/NEURL1/C1QL2/CDH8/EPHA4/SLITRK6/NLGN3/EFNA1/SLITRK2/NRXN1/FCGR2B/HOMER1/PTPRO/IL1RAP/PAFAH1B1/SEMA3F/RPS6KA5/PAK3/NEDD4/DVL1/DLG5/CDH2/TLR2/SLITRK5/TREM2/SEMA4D/PTPRS/PRNP/LRFN5/AMIGO2/SLITRK4/LRFN1/EPHB2/ICAM5/CTNNB1/EGLN1/LRRC24,41
blue,BP,GO:0070663,regulation of leukocyte proliferation,42/1269,267/18888,0.157303371,2.341328658,5.923944863,2.14221E-07,0.000149768,0.000127293,CSF1/CLC/CD38/BCL6/GAL/STAT5B/CD3E/HLA-G/ADA/HHEX/CD6/CD28/FOXP3/HES1/FCGR2B/IGFBP2/HMGB1/ENPP3/LEP/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/HLA-A/ZP3/CD276/DLG5/TNFRSF4/ZAP70/BST1/IL34/CD55/LILRB1/PRLR/TNFRSF21/ST6GAL1/PRNP/CRTAM/EPHB2/CTNNB1/BST2,42
blue,BP,GO:0042098,T cell proliferation,36/1269,213/18888,0.169014085,2.515632804,5.970011481,2.6202E-07,0.000162831,0.000138396,CLC/BCL6/STAT5B/CD3E/HLA-G/CD6/CD28/PSMB10/FOXP3/HES1/IGFBP2/HMGB1/LEP/CD151/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/RASGRP1/HLA-A/ZP3/CD276/DLG5/TNFRSF4/ZAP70/CD55/LILRB1/TNFRSF21/TNFSF14/TP53/PRNP/CRTAM/CTNNB1/GJA1/ARMC5,36
blue,BP,GO:0022407,regulation of cell-cell adhesion,64/1269,496/18888,0.129032258,1.920536872,5.57556934,3.61324E-07,0.000202088,0.000171762,TENM3/DTX1/ITGB2/BCL6/IFNL1/EFNB2/IFNG/DPP4/STAT5B/CD9/PCK1/CD3E/FGB/FGL2/HLA-G/ADA/CD6/CD28/FOXP3/HES1/ZC3H8/IGFBP2/MAD2L2/HMGB1/LEP/CCL2/PLAUR/CX3CL1/SLC7A1/JAK1/PDCD1LG2/LGALS3/ST3GAL4/HLA-DOB/PLPP3/MTOR/DNAJA3/RASGRP1/ADTRP/HFE/HLA-A/FLOT2/FUT4/EGR3/ZP3/CD276/CXCL13/DLG5/NFKBIZ/ZAP70/GP1BA/CD55/IL7R/LILRB1/JAG1/NOTCH1/TNFRSF21/TNFSF14/PRNP/GCNT2/IFNB1/CRTAM/BMP6/SIRPG,64
blue,BP,GO:0050900,leukocyte migration,54/1269,396/18888,0.136363636,2.029658285,5.55738446,5.27034E-07,0.000251328,0.000213612,CSF1/ITGB2/VEGFD/CCL1/DPP4/IL6R/STAT5B/CD9/ADA/DNM1L/HMGB1/PTPRO/LEP/CCL2/SCG2/TNFSF18/IL16/CCL3L1/CX3CL1/PAFAH1B1/IL1R1/LGALS3/LBP/RARRES2/WDR1/MPP1/ST3GAL4/MCU/P2RX4/ADTRP/SMPD3/FUT4/ZP3/CXCL13/CCR5/MMP2/ZAP70/BST1/IL34/PLA2G1B/GP1BA/PLA2G7/TNFAIP6/CD200/TREM2/TNFSF14/EDN3/SELPLG/S100A9/CRTAM/FLT1/APOD/CHGA/ADAM17,54
blue,BP,GO:0097529,myeloid leukocyte migration,38/1269,239/18888,0.158995816,2.366519283,5.705695807,6.09416E-07,0.000251328,0.000213612,CSF1/ITGB2/VEGFD/CCL1/DPP4/IL6R/STAT5B/CD9/DNM1L/HMGB1/PTPRO/CCL2/SCG2/CCL3L1/CX3CL1/PAFAH1B1/IL1R1/LGALS3/LBP/RARRES2/WDR1/MPP1/MCU/P2RX4/FUT4/CXCL13/MMP2/BST1/IL34/PLA2G1B/PLA2G7/TNFAIP6/CD200/TREM2/EDN3/S100A9/FLT1/CHGA,38
blue,BP,GO:0050808,synapse organization,63/1269,493/18888,0.127789047,1.902032713,5.446500214,6.25977E-07,0.000251328,0.000213612,IL10RA/PLXNB2/RAB17/RAB39B/STAU2/SNAP25/FLRT3/NEURL1/UNC13A/C1QL2/CDH8/EPHA4/SLITRK6/NLGN3/EFNA1/SLITRK2/NRXN1/FCGR2B/HOMER1/PTPRO/IL1RAP/C3/CX3CL1/PAFAH1B1/SEMA3F/C1QB/COL4A5/RPS6KA5/SDK2/DNAJA3/POTEE/NRP1/CNTN4/CAP2/F2R/NOS1AP/PAK3/NEDD4/DVL1/SDK1/CACNA1S/SLC1A1/POTEJ/DLG5/SPTBN4/CDH2/TLR2/L1CAM/SLITRK5/TREM2/SEMA4D/PTPRS/PRNP/LRFN5/AMIGO2/SLITRK4/LRFN1/EPHB2/ICAM5/CTNNB1/DNER/EGLN1/LRRC24,63
blue,BP,GO:0007159,leukocyte cell-cell adhesion,56/1269,419/18888,0.133651551,1.989291175,5.495802651,6.29107E-07,0.000251328,0.000213612,DTX1/ITGB2/BCL6/IFNL1/EFNB2/IFNG/DPP4/OLR1/STAT5B/PCK1/CD3E/FGL2/HLA-G/ADA/CD6/CD28/FOXP3/HES1/ZC3H8/IGFBP2/HMGB1/LEP/CCL2/SLC7A1/PDCD1LG2/CLEC4M/LGALS3/ST3GAL4/HLA-DOB/MTOR/DNAJA3/RASGRP1/ADTRP/HFE/HLA-A/FLOT2/FUT4/EGR3/ZP3/CD276/DLG5/NFKBIZ/ZAP70/GP1BA/CD55/IL7R/LILRB1/TNFRSF21/SEMA4D/TNFSF14/PRNP/SELPLG/IFNB1/S100A9/CRTAM/SIRPG,56
blue,BP,GO:0032944,regulation of mononuclear cell proliferation,38/1269,241/18888,0.157676349,2.346880119,5.647479353,7.54003E-07,0.000265162,0.00022537,CSF1/CLC/CD38/BCL6/GAL/STAT5B/CD3E/HLA-G/ADA/CD6/CD28/FOXP3/HES1/FCGR2B/IGFBP2/HMGB1/LEP/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/DNAJA3/HLA-A/ZP3/CD276/DLG5/TNFRSF4/ZAP70/BST1/CD55/LILRB1/PRLR/TNFRSF21/ST6GAL1/PRNP/CRTAM/EPHB2/CTNNB1,38
blue,BP,GO:0045785,positive regulation of cell adhesion,62/1269,485/18888,0.127835052,1.902717458,5.40505442,7.58554E-07,0.000265162,0.00022537,CSF1/ITGB2/BCL6/EFNB2/VWC2/IFNG/DPP4/EPHA4/STAT5B/EGFL6/PCK1/CD3E/FGB/HLA-G/ADA/CIB1/CD6/CD28/FOXP3/HES1/IGFBP2/JUP/HMGB1/LEP/CCL2/PLAUR/TNFSF18/IFT74/CX3CL1/SLC7A1/JAK1/PDCD1LG2/ST3GAL4/HLA-DOB/PLPP3/MTOR/DNAJA3/RASGRP1/NRP1/HLA-A/FLOT2/FUT4/EGR3/ZP3/CD276/CXCL13/NFKBIZ/TESK1/DOCK5/ZAP70/COL8A1/AGR2/GP1BA/CD55/IL7R/LILRB1/TNFSF14/NPNT/GCNT2/SFRP2/VTN/SIRPG,62
blue,BP,GO:0045685,regulation of glial cell differentiation,19/1269,79/18888,0.240506329,3.579734865,6.166339601,8.3787E-07,0.000275659,0.000234292,TENM4/ID2/EPHA4/ASPA/MAG/HES1/OLIG2/WDR1/MTOR/CDK1/HDAC1/TLR2/IL34/NOTCH1/F2/TNFRSF21/TREM2/CTNNB1/MYRF,19
blue,BP,GO:0050863,regulation of T cell activation,52/1269,382/18888,0.136125654,2.026116124,5.43742886,9.00057E-07,0.000279668,0.000237699,CLC/DTX1/BCL6/IFNL1/EFNB2/PRDM1/IFNG/DPP4/STAT5B/PCK1/CD3E/FGL2/HLA-G/ADA/CD6/CD28/FOXP3/HES1/ZC3H8/IGFBP2/HMGB1/LEP/CCL2/TNFSF18/SLC7A1/PDCD1LG2/LGALS3/HLA-DOB/MTOR/DNAJA3/RASGRP1/HFE/HLA-A/FLOT2/EGR3/ZP3/CD276/DLG5/NFKBIZ/TREX1/ZAP70/CD55/IL7R/LILRB1/TNFRSF21/TNFSF14/PRNP/IFNB1/CRTAM/CTNNB1/SIRPG/PSG9,52
blue,BP,GO:0051962,positive regulation of nervous system development,43/1269,294/18888,0.146258503,2.176935077,5.458350651,1.17701E-06,0.000346474,0.00029448,LRP2/PLXNB2/TENM4/STAU2/FLRT3/NEURL1/IFNG/ID2/EPHA4/SLITRK6/NLGN3/ASPA/MME/MAG/SLITRK2/HES1/NRXN1/TBC1D24/IL1RAP/EGFR/CX3CL1/PAFAH1B1/OLIG2/TRIM32/CHODL/XRCC2/MTOR/NRP1/HDAC1/DLG5/TLR2/L1CAM/IL34/SLITRK5/NOTCH1/SEMA4D/AMIGO2/SLITRK4/FMR1/EPHB2/CTNNB1/MYRF/LRRC24,43
blue,BP,GO:0022409,positive regulation of cell-cell adhesion,46/1269,325/18888,0.141538462,2.106681215,5.400846196,1.28682E-06,0.000359858,0.000305856,ITGB2/BCL6/EFNB2/IFNG/DPP4/STAT5B/PCK1/CD3E/FGB/HLA-G/ADA/CD6/CD28/FOXP3/HES1/IGFBP2/HMGB1/LEP/CCL2/PLAUR/CX3CL1/SLC7A1/JAK1/PDCD1LG2/ST3GAL4/HLA-DOB/PLPP3/MTOR/DNAJA3/RASGRP1/HLA-A/FLOT2/FUT4/EGR3/ZP3/CD276/CXCL13/NFKBIZ/ZAP70/GP1BA/CD55/IL7R/LILRB1/TNFSF14/GCNT2/SIRPG,46
blue,BP,GO:0006959,humoral immune response,39/1269,258/18888,0.151162791,2.249931277,5.425143555,1.60174E-06,0.000426597,0.000362579,PGLYRP3/CD59/RPL30/CFD/HPX/IFNG/IL36RN/FGB/CD28/PSMB10/FCGR2B/IFNE/CCL2/C3/C1QB/RARRES2/A2M/BCL3/HLA-A/ZP3/CXCL13/TF/BST1/PLA2G1B/CD55/NOTCH1/F2/TNFRSF21/TREM2/RNASE4/SPAG11A/CFHR1/ST6GAL1/IFNA5/IFNA14/IFNB1/S100A9/NOTCH2/REG3A,39
blue,BP,GO:0002685,regulation of leukocyte migration,36/1269,230/18888,0.156521739,2.329694727,5.445089137,1.74559E-06,0.000443777,0.000377181,CSF1/VEGFD/CCL1/DPP4/IL6R/CD9/ADA/DNM1L/HMGB1/CCL2/TNFSF18/CX3CL1/IL1R1/LGALS3/LBP/RARRES2/MPP1/ST3GAL4/MCU/P2RX4/ADTRP/SMPD3/FUT4/ZP3/CXCL13/BST1/IL34/GP1BA/PLA2G7/TNFAIP6/CD200/TREM2/TNFSF14/EDN3/APOD/ADAM17,36
blue,BP,GO:1903037,regulation of leukocyte cell-cell adhesion,51/1269,382/18888,0.133507853,1.987152352,5.230958333,2.04167E-06,0.000496482,0.000421977,DTX1/ITGB2/BCL6/IFNL1/EFNB2/IFNG/DPP4/STAT5B/PCK1/CD3E/FGL2/HLA-G/ADA/CD6/CD28/FOXP3/HES1/ZC3H8/IGFBP2/HMGB1/LEP/CCL2/SLC7A1/PDCD1LG2/LGALS3/ST3GAL4/HLA-DOB/MTOR/DNAJA3/RASGRP1/ADTRP/HFE/HLA-A/FLOT2/FUT4/EGR3/ZP3/CD276/DLG5/NFKBIZ/ZAP70/GP1BA/CD55/IL7R/LILRB1/TNFRSF21/TNFSF14/PRNP/IFNB1/CRTAM/SIRPG,51
